unique_key,created_date,agency,agency_name,complaint_type,descriptor,descriptor_2,location_type,incident_zip,incident_address,street_name,council_district,bbl,borough,latitude,longitude
62737672,2024-10-12T10:58:28.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,In Prohibited Area,Street,10458.0,2334 WEBSTER AVENUE,WEBSTER AVENUE,15.0,2030310017.0,BRONX,40.857359013967994,-73.89485452889082
58566244,2023-08-20T09:34:20.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Unlicensed,Street,10467.0,ALLERTON AVENUE,ALLERTON AVENUE,12.0,,BRONX,40.86543029648311,-73.86736090787606
65296872,2025-06-18T12:30:36.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Unlicensed,Street,10004.0,22 WATER STREET,WATER STREET,1.0,1000070031.0,MANHATTAN,40.703015050767064,-74.01131395166547
61853998,2024-07-19T08:21:16.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,Improper Trash Storage,Street,11377.0,61-19 ROOSEVELT AVENUE,ROOSEVELT AVENUE,26.0,4012310050.0,QUEENS,40.74569932260451,-73.90260589769778
65644242,2025-07-23T10:43:40.000,DSNY,Department of Sanitation,Vendor Enforcement,Food Vendor,In Prohibited Area,Street,10006.0,75 BROADWAY,BROADWAY,1.0,1000490001.0,MANHATTAN,40.70749993508218,-74.01191705811951
66506612,2025-10-16T14:35:59.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Food,Park,10010.0,2 MADISON AVENUE,MADISON AVENUE,3.0,1008520001.0,MANHATTAN,40.74100517194248,-73.98790734144528
62170853,2024-08-19T12:50:51.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Bare Hands in Contact w/Food,Mobile Food Vendor,10019.0,1 WEST   54 STREET,WEST   54 STREET,4.0,1012700034.0,MANHATTAN,40.76125127668166,-73.97585425808583
54997420,2022-08-02T19:19:46.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Smoke/Odor,From Unit Creating Nuisance,Mobile Food Vendor,10453.0,1901 GRAND CONCOURSE,GRAND CONCOURSE,14.0,2028060033.0,BRONX,40.84950560755094,-73.90667932595302
59432103,2023-11-14T16:09:39.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Bare Hands in Contact w/Food,Mobile Food Vendor,11201.0,30 WASHINGTON STREET,WASHINGTON STREET,33.0,3000270040.0,BROOKLYN,40.70353115007899,-73.9895695882966
65444310,2025-07-02T11:14:10.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Smoke/Odor,From Unit Creating Nuisance,Mobile Food Vendor,10036.0,199 WEST   41 STREET,WEST   41 STREET,3.0,,MANHATTAN,40.75532995039086,-73.98731640097103
51159041,2021-07-09T15:09:59.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Permit/License/Certificate,Unlicensed/Unpermitted Vendor,Mobile Food Vendor,10023.0,1880 BROADWAY,BROADWAY,3.0,1011147503.0,MANHATTAN,40.7704473040446,-73.98212556809227
58335443,2023-07-27T09:02:20.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,Unlicensed,Street,10018.0,601 8 AVENUE,8 AVENUE,3.0,1007630034.0,MANHATTAN,40.755514199378474,-73.99105576400845
61282336,2024-05-27T12:24:34.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,In Prohibited Area,Street,11217.0,FOURTH AVENUE,FOURTH AVENUE,35.0,,BROOKLYN,40.68485686852235,-73.97804169469934
61194656,2024-05-18T09:39:54.000,DSNY,Department of Sanitation,Vendor Enforcement,Non-Food Vendor,In Prohibited Area,Street,10006.0,31 BROADWAY,BROADWAY,1.0,1000200001.0,MANHATTAN,40.70605605948591,-74.01311064407483
43696645,2019-09-01T09:48:23.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Placement,On Sidewalk Less Than 12 ft Wide,Food Cart Vendor,10019.0,COLUMBUS CIRCLE,COLUMBUS CIRCLE,3.0,,MANHATTAN,40.76771626077605,-73.98195301535783
25675306,2013-06-05T15:11:37.000,DPR,Department of Parks and Recreation,Violation of Park Rules,Unlicensed Vendors,Food,Park,10451.0,,,17.0,,BRONX,,
65711332,2025-07-30T11:52:23.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Food Worker Activity,Hair Restraint Not Worn,Mobile Food Vendor,10017.0,595 5 AVENUE,5 AVENUE,4.0,1012840001.0,MANHATTAN,40.75721962320148,-73.97771824741936
59770919,2023-12-17T16:36:02.000,DOHMH,Department of Health and Mental Hygiene,Mobile Food Vendor,Insects / Pests,Vermin/Insects/Pests Present,Mobile Food Vendor,11201.0,7 EVERIT STREET,EVERIT STREET,33.0,3002010004.0,BROOKLYN,40.70253513253691,-73.99431601548454
